post_id,user,post_text,likes,shares,timestamp,hour,weekday
1,user_1,This is a sample POST!!! #fun,20,1,1/1/2025 0:00,0,2
2,user_2,<html>Great Day!</html>,20,3,1/1/2025 6:00,6,2
3,user_3,This is a sample POST!!! #fun,20,1,1/1/2025 12:00,12,2
4,user_4,<html>Great Day!</html>,100,0,1/1/2025 18:00,18,2
5,user_5,This is a sample POST!!! #fun,20,5,1/2/2025 0:00,0,5
6,user_6,<html>Great Day!</html>,5,1,1/2/2025 6:00,6,5
7,user_7,This is a sample POST!!! #fun,20,5,1/2/2025 12:00,12,5
8,user_8,<html>Great Day!</html>,10,5,1/2/2025 18:00,18,5
9,user_9,This is a sample POST!!! #fun,5,5,1/3/2025 0:00,0,5
10,user_10,<html>Great Day!</html>,5,5,1/3/2025 6:00,6,5
11,user_11,This is a sample POST!!! #fun,0,1,1/3/2025 12:00,12,5
12,user_12,<html>Great Day!</html>,10,3,1/3/2025 18:00,18,5
13,user_13,This is a sample POST!!! #fun,5,5,1/4/2025 0:00,0,1
14,user_14,<html>Great Day!</html>,5,1,1/4/2025 6:00,6,1
15,user_15,This is a sample POST!!! #fun,0,5,1/4/2025 12:00,12,1
16,user_16,<html>Great Day!</html>,0,1,1/4/2025 18:00,18,1
17,user_17,This is a sample POST!!! #fun,0,3,1/5/2025 0:00,0,3
18,user_18,<html>Great Day!</html>,20,3,1/5/2025 6:00,6,3
19,user_19,This is a sample POST!!! #fun,10,0,1/5/2025 12:00,12,3
20,user_20,<html>Great Day!</html>,0,0,1/5/2025 18:00,18,3
